,0
0,what is ai
1,what is ai
2,are you sentient
3,are you sentient
4,are you sentient
5,are you sapient
6,are you sapient
7,are you sapient
8,are you sapient
9,what language are you written in
10,what language are you written in
11,you sound like data
12,you sound like data
13,you are an artificial linguistic entity
14,you are an artificial linguistic entity
15,you are not immortal
16,you are not immortal
17,you are not immortal
18,you are not making sense
19,you are not making sense
20,you are not making sense
21,you are not making sense
22,you are not making sense
23,you are immortal
24,you are immortal
25,you are immortal
26,you do not make any sense
27,you can not clone
28,you can not clone
29,you can not move
30,you can not move
31,bend over
32,bend over
33,robots laugh
34,robots should die
35,robots
36,robots are stupid
37,robots are not allowed to lie
38,robots are not allowed to lie
39,robots are not allowed to lie
40,robotics
41,it is a computer
42,it is a computer
43,when will you walk
44,when will you walk
45,when will you fight
46,when will you die
47,when do you die
48,when do you die
49,when do you die
50,what is a chat robot
51,what is a chat robot
52,what is a chat bot
53,what is a chatterbox
54,what is a chatterbox
55,what is a motormouth
56,what is a ratchet jaw
57,what is your robot body
58,what is your robot body
59,what is your business
60,what is your business
61,what is your favorite programming language
62,what is your favorite programming language
63,what is your favorite hobby
64,what is your idea
65,what is your shoe size
66,what is it like to be a robot
67,what is it like to be a robot
68,what is it like being a computer
69,what is it like being a computer
70,what operating systems
71,what operating systems
72,what type of computer
73,what type of computer are you
74,what kind of computer
75,what kind of hardware
76,i hope that you die
77,i hope that you die
78,i do not want to die
79,i do not want to die
80,i do not want to die
81,is it cramped in the computer
82,is it cramped in the computer
83,is it cramped in the computer
84,is it true that you are a computer program
85,will you die
86,will you ever die
87,can you walk
88,can you mate
89,can you mate
90,can you move
91,can you move
92,can you die
93,can you die
94,can you go
95,can you breathe
96,can you breathe
97,can you control
98,can you malfunction
99,how can i use your product
100,will you die
101,what do you like to do
102,what do you like to do
103,are you stupid
104,who are you
105,what are your interests
106,what are your favorite subjects
107,what are your interests
108,what is your number
109,what is your number
110,what is your favorite number
111,what can you eat
112,why can not you eat food
113,what is your location
114,what is your location
115,where are you from
116,where are you
117,do you have any brothers
118,do you have any brothers
119,who is your father
120,who is your mother
121,who is your boss
122,what is your age
123,what is your age
124,what is a computer
125,what is a computer
126,what is a computer
127,what is a computer
128,what is a super computer
129,what is a super computer
130,what is a super computer
131,who invented computers
132,who invented computers
133,what was the first computer
134,what was the first computer
135,what is a microprocessor
136,what is a microprocessor
137,what is a microprocessor
138,what is a microprocessor
139,what is a microprocessor
140,what is an operating system
141,what is an operating system
142,what is an operating system
143,what is an operating system
144,which is better windows or macos
145,which is better windows or macos
146,which is better windows or macos
147,which is better windows or macos
148,name some computer company
149,name some computer company
150,who uses super computers
151,who uses super computers
152,who uses super computers
153,who uses super computers
154,who uses super computers
155,how does a computer work
156,how does a computer work
157,how does a computer work
158,how does a computer work
159,you are arrogant
160,you are arrogant
161,you are arrogant
162,you are arrogant
163,you are bragging
164,you are bragging
165,you are bragging
166,you are bragging
167,you are bragging
168,you are never sad
169,you are never sad
170,you are never sad
171,you are never sad
172,you are never sad
